rule,file,candidates_tried,encoding_used,failed_candidates,action,source,n_flagged,pct_flagged,why,bbox,n_checkable,tolerance_m,n_districts_with_null_geometry_in_source,n_involved_rows,n_districts
encoding,C:\Users\labri\Documents\GitHub\HW2 DS-2026-II-LFAV\data\raw\renipress_raw.csv,"['utf-8', 'latin-1', 'cp1252']",utf-8,[],used first working encoding,renipress,,,,,,,,,
missing_or_zero_coordinates,,,,,"kept in registry, excluded from nearest-facility geospatial computation",renipress,1175.0,32.36,a facility with no GPS fix cannot be routed to; dropping it would silently shrink the supply count instead of documenting the gap,,,,,,
out_of_peru_bbox,,,,,"kept in registry, excluded from nearest-facility geospatial computation",renipress,0.0,,"a coordinate outside Peru is a data-entry error (typo, wrong CRS); no safe automatic correction exists","{'lon_min': -81.4, 'lon_max': -68.6, 'lat_min': -18.4, 'lat_max': -0.04}",,,,,
swapped_lat_lon,,,,,none found — no correction applied,renipress,0.0,,lat/lon transposition is a common manual-entry error and is safely reversible: the swap is only applied when it moves the point INTO Peru's bbox,,,,,,
district_containment,,,,,"kept with warning — the declared UBIGEO is trusted for filtering, the point is flagged as geometrically inconsistent",renipress,314.0,,"RENIPRESS lets facilities self-report UBIGEO independently of their coordinates; a mismatch usually means one of the two was mistyped, and we cannot tell which without manual review. Separately, the admin-boundaries source itself has null geometry for a small number of districts nationally (data-quality issue in that source, not RENIPRESS) — their facilities are excluded from n_checkable.",,2397.0,500.0,0.0,,
duplicate_facility_codes,,,,,dropped (kept first occurrence) — the only rule in this pipeline that removes rows,renipress,0.0,,a duplicated facility_code is definitionally the same IPRESS registered twice; counting it twice would inflate resolutive supply density,,,,,0.0,
unclassified_category,,,,,"kept in registry, treated as non-resolutive (excluded from nearest-facility computation, same as I-1..I-4)",renipress,1113.0,30.65,RENIPRESS uses the literal string '0' for establishments SUSALUD has not yet classified; absent a real category we cannot assume resolutive capacity,,,,,,
missing_or_zero_coordinates,,,,,"kept in registry, excluded from nearest-facility geospatial computation",sigmed,0.0,0.0,a facility with no GPS fix cannot be routed to; dropping it would silently shrink the supply count instead of documenting the gap,,,,,,
out_of_peru_bbox,,,,,"kept in registry, excluded from nearest-facility geospatial computation",sigmed,0.0,,"a coordinate outside Peru is a data-entry error (typo, wrong CRS); no safe automatic correction exists","{'lon_min': -81.4, 'lon_max': -68.6, 'lat_min': -18.4, 'lat_max': -0.04}",,,,,
swapped_lat_lon,,,,,none found — no correction applied,sigmed,0.0,,lat/lon transposition is a common manual-entry error and is safely reversible: the swap is only applied when it moves the point INTO Peru's bbox,,,,,,
district_containment,,,,,"kept with warning — the declared UBIGEO is trusted for filtering, the point is flagged as geometrically inconsistent",sigmed,355.0,,"RENIPRESS lets facilities self-report UBIGEO independently of their coordinates; a mismatch usually means one of the two was mistyped, and we cannot tell which without manual review. Separately, the admin-boundaries source itself has null geometry for a small number of districts nationally (data-quality issue in that source, not RENIPRESS) — their facilities are excluded from n_checkable.",,20697.0,500.0,0.0,,
duplicate_facility_codes,,,,,dropped (kept first occurrence) — the only rule in this pipeline that removes rows,sigmed,0.0,,a duplicated facility_code is definitionally the same IPRESS registered twice; counting it twice would inflate resolutive supply density,,,,,0.0,
population_district_extraction,,,,,"kept with warning — population figure is used, ubigeo left blank rather than guessed",population_census2017,6.0,,"a handful of districts (e.g. Inkawasi, Megantoni in Cusco; Rosa Panduro, Yaguas in Loreto) were created/recognized after limites_distritales.geojson's cutoff, so they have no matching polygon to join against",,,,,,203.0
